movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;sentiment_tuple;sentiment_polarity;sentiment_subjectivity;rel_sent;abs_sent
lincoln;9;aozeta;/user/aozeta;Jan 24, 2013;"[ ""This film has the best Lincoln as perfectly portrayed by Daniel Day-Lewis. While the performances are trophy-worthy along with production design, the screenplay enjoys the benefit of the doubt. Nevertheless, this one deserves to join the roll of best history movies. Worth-watching."", """", ""http://movienotesbook.blogspot.com/2013/01/movies-2012-lincoln-2012.html"" ]";0.0;0.0;0.0;0.0;(1.0, 0.5333333333333333);1.0;0.5333333333333333;inf;1.0
reasonable-doubt;4;Broyax;/user/Broyax;Jan 21, 2017;"[ ""Médiocre sans être mauvais et de surcroît très générique, La loi du tueur fait penser invariablement à un téléfilm dans lequel Samuel L. Jackson se serait égaré pour payer les réparations du toit ; ce ne serait pas la première fois, cet acteur pourtant excellent a en effet quelques daubes à son tableau de service."", ""Ainsi, bien que le scénario ait de la suite dans les idées, quelques détails sont traités par dessus la jambe et la réalisation terriblement conventionnelle ne l'aide en rien. En outre, le petit gars Dominic Cooper est bien gentil mais désespérément médiocre comme pour faire écho à l'ensemble du film. On ne s'y ennuie pas... mais on est loin de vraiment s'y intéresser !"" ]";0.0;0.0;0.0;0.0;(1.0, 1.0);1.0;1.0;12.903225806451609;0.9225
the-deep-end-of-the-ocean;1;Broyax;/user/Broyax;Apr 15, 2017;"[ ""J'espère que vous êtes prêts et bien préparés... ouvrez grand !... prêts à être gavés de guimauve jusqu'à s'en étouffer ? c'est parti pour presque deux plombes ! et on ne vomit pas parce qu'il faudra de toute façon tout finir !"", ""J'avoue qu'on tient un beau record en la matière, en matière de guimauve lourde et sirupeuse qui dégouline partout ; à ce niveau-là, ça devient vraiment dégueulasse. Et à la guimauve vient s'ajouter toute la niaiserie et les violons qui vont avec. Un supplice."", ""Alors, heureusement qu'on peut accélérer mais même en accélérant, on regarde quand même jusqu'au bout, car cette chose est lancinante, hypnotique presque. A moins que ce ne soit de la curiosité expérimentale, pour voir juste jusqu'où ils vont nous gaver ces crevards !"", ""Michelle n'y est pas pour rien certes : elle est très convaincante et toujours aussi belle. Mais putain, j'en peux plus, j'ai cru que ça se terminerait jamais."" ]";0.0;0.0;0.0;0.0;(1.0, 1.0);1.0;1.0;12.903225806451609;0.9225
like-mike;7;homer4president;/user/homer4president;Apr 12, 2015;"[ ""Like \""Rookie of the Year\"", you get what you expect, and should understand between fact and fantasy, and know that before you review or see a movie, that you would be by-partison or biast too. I Happen to know the fine line between fact and fantasy, or fiction, yet this film is just a perfectly innoccent children's film. A no-brainer for parents to let thier kids watch."" ]";0.0;0.0;0.0;0.0;(0.7083333333333334, 0.75);0.7083333333333334;0.75;-3.400000000000001;0.9166666666666666
spider-man;9;homer4president;/user/homer4president;Mar 13, 2015;"[ ""The first installment of the Spider-Man trilogy is excellent and very entertaining to watch. The soundtrack was very good and original, and the acting was superb. The special effects were top-notch as well, and the plot keeps you thinking all the way to the end. All in all, this is a great action/superhero movie and one of Marvel's best productions."" ]";0.0;0.0;0.0;0.0;(0.6674675324675324, 0.6722510822510822);0.6674675324675324;0.6722510822510822;-3.2038441558441564;0.8758008658008657
lemony-snickets-a-series-of-unfortunate-events;7;homer4president;/user/homer4president;Mar 13, 2015;"[ ""There are a couple discrepancies between the book and the movie. Ultimately, a good representation of the Baudelaire's orphan story. If you are looking to read more about the tragedy of the Baudelaire orphans, then the books are a great place to start."" ]";0.0;0.0;0.0;0.0;(0.6666666666666666, 0.6166666666666667);0.6666666666666666;0.6166666666666667;-3.2000000000000006;0.8749999999999999
lights-out;8;homer4president;/user/homer4president;Jul 27, 2016;"[ ""Lights Out is an impressive debut for first time director David F. Sandberg, who even if he falls into the genre cliches that we have come to expect, still gives us some great performances from the cast including a great Teresa Palmer in the lead role, and a great Maria Bello in the supporting role."" ]";1.0;2.0;1.0;1.0;(0.6499999999999999, 0.6388888888888888);0.6499999999999999;0.6388888888888888;-3.12;0.8583333333333332
thor;8;SonicHD7;/user/SonicHD7;Jun  1, 2017;"[ ""As the son of Odin (Anthony Hopkins), king of the Norse gods, Thor (Chris Hemsworth) will soon inherit the throne of Asgard from his aging father. However, on the day that he is to be crowned, Thor reacts with brutality when the gods' enemies, the Frost Giants, enter the palace in violation of their treaty. As punishment, Odin banishes Thor to Earth. While Loki (Tom Hiddleston), Thor's brother, plots mischief in Asgard, Thor, now stripped of his powers, faces his greatest threat."" ]";0.0;0.0;0.0;0.0;(1.0, 1.0);1.0;1.0;6.0;0.8333333333333334
the-dark-knight;10;homer4president;/user/homer4president;Mar 13, 2015;"[ ""The one singular thing I loved more than anything abotu this film was Heath Ledger's performance as The Joker. The one thing that touches me about his performance is that he was so into his character, he couldn't get out, and so he became The Joker. He WAS the best Joker I've ever seen. This film, all in all, was a great second chapter to the trilogy!"" ]";0.0;0.0;0.0;0.0;(0.6, 0.47000000000000003);0.6;0.47;-2.8800000000000003;0.8083333333333332
zodiac;5;Broyax;/user/Broyax;Jan 27, 2017;"[ ""\""Faites entrer l'accusé\"" pendant 2h37... un excellent épisode au demeurant, un épisode à la manière de David Fincher, c'est-à-dire une mise en scène rigoureuse et fluide, une direction d'acteurs impeccable (jamais vu un acteur \""mauvais\"" quand Fincher est à la barre), bref du bon filmage."", ""Un peu longuet tout de même : en effet l'émission télé ne dépasse pas une heure et demi en général... alors deux plombes entières et quasiment trois quarts d'heure... (je l'écris en toutes lettres comme une somme avec plein de centimes sur un putain de chèque pour vous donner une idée). Non pas que ce soit chiant, je ne voudrais pas qu'on se méprenne, mais c'est un peu lourd à digérer."", ""Une affaire non résolue et tortueuse donc (le film semble très documenté sur le sujet) comme il en existe beaucoup et plus que l'on ne croit... mais je me demande si une telle affaire -aussi macabre et merdique- méritait un film triple A. A mon avis, certainement pas, car c'est faire l'apologie d'un psychopathe. Je sais que les psychopathes et autres tueurs en série sont des \""stars\"" aux Etats-Unis mais ma mentalité d'Européen ne l'entend pas de cette oreille."", ""Aussi conclurai-je par une déclaration : il s'agit d'un film remarquable sur un sujet odieux et abject, et un film d'une complaisance malsaine dont l'utilité laisse fortement dubitatif. A bon entendeur..."" ]";0.0;0.0;0.0;0.0;(0.875, 0.875);0.875;0.875;11.290322580645157;0.7975
jurassic-park;9;homer4president;/user/homer4president;Mar 13, 2015;"[ ""This is perhaps the earliest movie I remember watching and what a movie it is to remember. The dinosaur effects are great, the characters are good, and the story is memorable. Sure, the paleontology is off at times (the Velociraptors being the same size as us and being superintelligent for example) but I don't care because this movie is awesome."" ]";0.0;0.0;0.0;0.0;(0.5833333333333334, 0.7273148148148149);0.5833333333333334;0.7273148148148149;-2.8000000000000007;0.7916666666666666
apollo-13;8;homer4president;/user/homer4president;Mar 31, 2015;"[ ""Dramatically stunning, and at times at the profound level, Apollo 13 is a magnificent retelling of the doomed Apollo space mission. It succeeds in fleshing out the heroism and determination in what is the quintessential modern story of mankind's greatest adventure and victory over adversity."" ]";0.0;0.0;0.0;0.0;(0.5805555555555556, 0.7333333333333334);0.5805555555555556;0.7333333333333334;-2.7866666666666675;0.7888888888888889
goodfellas;9;Everlong;/user/Everlong;Apr 28, 2012;"[ ""Goodfellas can easily be considered one of the greatest films ever made during the 90's. What makes it so brilliant, you ask? Without a doubt, it's number one quality is it's PLOT. Utterly captivating from the first scene the plot delivers one of the best cinematic experiences you will ever encounter."" ]";1.0;1.0;1.0;0.0;(0.5833333333333334, 0.6666666666666667);0.5833333333333334;0.6666666666666667;-3.2071998363673555;0.7652157738095239
cheaper-by-the-dozen;8;homer4president;/user/homer4president;Mar 28, 2015;"[ ""Good family entertainment! Steve Martin is funny as always and the kids are good too. The story is good and believable and the jokes are quite funny. Yes, it has the cliches you see in movie with parents who deal with tons of kids but that shouldn't matter to the viewer."" ]";0.0;0.0;0.0;0.0;(0.5458333333333333, 0.7166666666666668);0.5458333333333333;0.7166666666666668;-2.6200000000000006;0.7541666666666665
interstellar;9;blue-ninja;/user/blue-ninja;Mar 21, 2015;"[ ""This Movie is Great about Story, Effect, and Music. For Character is look good too, and salute for Nolan, keep keeping men for make Quality Film ///////////////////////////////////////////////////////////////////////////////////////////////////////////////"" ]";1.0;1.0;1.0;0.0;(0.75, 0.675);0.75;0.675;inf;0.75
django-unchained;9;Compi24;/user/Compi24;Jan  2, 2013;"[ ""Thanks to a seemingly unending overflow of marvelous performances, a bitingly scintillating script, and the always-lovable auteurist techniques of Quentin Tarantino, \""Django Unchained\"" makes for a truly gratifying film adventure and one of the greatest westerns I have ever seen."" ]";1.0;4.0;1.0;3.0;(0.7333333333333334, 0.7333333333333334);0.7333333333333334;0.7333333333333334;inf;0.7333333333333334
